name,text
Varicose veins,"Varicose veins are enlarged, twisted veins that are visible just under the surface of the skin. They usually occur in the legs, but can also form in other parts of the body. Symptoms: Swelling, Aching pain, Heaviness, Burning or itching, Discoloration, Ulcers. Treatments: Compression stockings, Sclerotherapy, Laser treatment, Endovenous ablation therapy, Surgery."
Alzheimer's disease,"Alzheimer's disease is a progressive brain disorder that affects memory, thinking, and behavior. It is the most common cause of dementia in older adults. Symptoms: Memory loss, Difficulty completing familiar tasks, Language problems, Disorientation, Mood swings, Personality changes, Loss of motivation. Treatments: Medications, Non-drug treatments (e.g., cognitive stimulation therapy), Supportive therapies, Clinical trials."
Angina pectoris,"Angina pectoris is a condition that causes chest pain or discomfort. It occurs when the heart muscle doesn't get enough blood and oxygen due to narrowed or blocked coronary arteries. Symptoms: Chest pain or discomfort, Pain or discomfort in the arms, neck, jaw, shoulder or back, Shortness of breath. Treatments: Lifestyle changes such as quitting smoking, eating a healthy diet and exercising regularly, Medications to relieve pain and improve blood flow to the heart, Medical procedures such as angioplasty or bypass surgery."
Aortic stenosis,"Aortic stenosis is a condition that occurs when the aortic valve narrows, restricting blood flow from the heart to the rest of the body. Symptoms: Shortness of breath, Chest pain or discomfort, Fainting or lightheadedness. Treatments: Medications to manage symptoms, Balloon valvuloplasty to open the narrowed valve, Surgical valve replacement."
Aortic valve regurgitation,"Aortic valve regurgitation is a condition that occurs when the aortic valve doesn't close properly, causing blood to leak back into the heart. Symptoms: Shortness of breath, Fatigue, Swollen ankles or feet. Treatments: Medications to manage symptoms, Surgical valve repair or replacement."
Benign prostatic hyperplasia,"Benign prostatic hyperplasia is a condition that causes the prostate gland to enlarge, leading to urinary problems. Symptoms: Frequent urination, Difficulty starting or stopping urination, Weak urine stream. Treatments: Medications to relax the muscles of the prostate gland and improve urine flow, Minimally invasive procedures such as transurethral microwave therapy or laser therapy, Surgery to remove the prostate gland."
Breast cancer,"Breast cancer is a type of cancer that forms in the cells of the breast. Symptoms: A lump or thickening in the breast or underarm, Changes in the size or shape of the breast, Nipple discharge or retraction. Treatments: Surgery to remove the cancerous tissue, Radiation therapy to destroy cancer cells, Chemotherapy or targeted therapy to kill cancer cells."
Cardiomyopathy,"Cardiomyopathy is a disease that affects the heart muscle, making it harder for the heart to pump blood to the rest of the body. Symptoms: Shortness of breath, Swelling of the legs, ankles, or feet, Fatigue, Irregular heartbeat. Treatments: Lifestyle changes (e.g., diet, exercise), Medications (e.g., ACE inhibitors, beta blockers), Implanted devices (e.g., pacemakers, defibrillators), Surgery (e.g., heart transplant)."
Carotid Artery Disease,"Carotid artery disease occurs when the carotid arteries, which supply blood to the brain, become narrowed or blocked by plaque buildup. Symptoms: Transient ischemic attacks (mini-strokes), Weakness or numbness on one side of the body, Trouble speaking or understanding speech, Dizziness. Treatments: Lifestyle changes (e.g., diet, exercise), Medications (e.g., blood thinners, cholesterol-lowering drugs), Endarterectomy (surgical removal of plaque from artery), Angioplasty and stenting (using a balloon to widen the artery and placing a stent to hold it open)."
Cerebral Aneurysm,"A cerebral aneurysm is a weakened, bulging area in the wall of an artery in the brain that can rupture and cause bleeding in the brain. Symptoms: Severe headache, Nausea and vomiting, Stiff neck, Blurred or double vision. Treatments: Observation and monitoring (for small, unruptured aneurysms), Endovascular coiling (placing coils in the aneurysm to block blood flow), Clipping (placing a clip on the base of the aneurysm to prevent it from rupturing), Surgical removal of the aneurysm."
Cervical Cancer,"Cervical cancer is a type of cancer that occurs in the cells of the cervix, which is the lower part of the uterus that connects to the vagina. Symptoms: Abnormal vaginal bleeding, Pain during sex, Pelvic pain, Unusual vaginal discharge. Treatments: Surgery (e.g., hysterectomy, removal of lymph nodes), Radiation therapy, Chemotherapy, Targeted therapy."
Chronic Obstructive Pulmonary Disease,"Chronic obstructive pulmonary disease (COPD) is a chronic lung disease characterized by obstruction of airflow from the lungs, making it difficult to breathe. Symptoms: Shortness of breath, especially during physical activities, Wheezing, Chest tightness, Chronic cough, Frequent respiratory infections, Lack of energy, Unintended weight loss. Treatments: Smoking cessation, Bronchodilators to relax the muscles around the airways, Inhaled corticosteroids to reduce inflammation, Pulmonary rehabilitation to improve lung function and overall fitness, Supplemental oxygen therapy, Surgery in severe cases."
Coronary artery disease,"Coronary artery disease is a condition in which the arteries that supply blood to the heart become narrowed or blocked due to plaque buildup. Symptoms: Chest pain or discomfort, Shortness of breath, Heart palpitations, Nausea, Sweating. Treatments: Lifestyle changes such as a healthy diet and exercise, Medications such as aspirin and statins, Procedures such as angioplasty or bypass surgery."
Deep vein thrombosis,"Deep vein thrombosis is a blood clot that forms in a vein deep inside the body, usually in the leg. Symptoms: Swelling in the affected leg, Pain or tenderness in the affected leg, Warmth in the skin over the affected leg, Red or discolored skin over the affected leg, Shortness of breath. Treatments: Anticoagulant medications to prevent the clot from getting bigger, Thrombolytic therapy to dissolve the clot, Compression stockings or devices to help prevent swelling and blood clots."
Diverticulitis,"Diverticulitis is a condition in which small pouches that form in the wall of the colon become infected or inflamed. Symptoms: Abdominal pain, usually on the left side, Fever, Nausea, Vomiting, Constipation or diarrhea. Treatments: Antibiotics to treat the infection, Liquid diet or low-fiber diet to help the colon rest, Surgery to remove the affected part of the colon in severe cases."
Endocarditis,"Endocarditis is an infection of the lining of the heart or heart valves. Symptoms: Fever, Fatigue, Shortness of breath, Swelling in the legs, feet, or abdomen, Heart murmur. Treatments: Antibiotics to treat the infection, Surgery to repair or replace damaged heart valves, Anticoagulant medications to prevent blood clots."
Esophageal cancer,"Esophageal cancer is a type of cancer that begins in the cells that line the esophagus. Symptoms: Difficulty swallowing, Unintentional weight loss, Chest pain or discomfort, Heartburn or indigestion, Chronic cough. Treatments: Surgery to remove the cancer, Radiation therapy, Chemotherapy, Palliative care to manage symptoms in advanced cases."
Gallbladder cancer,"Gallbladder cancer is a cancerous growth in the gallbladder, a small organ located beneath the liver that stores bile. Symptoms: Abdominal pain, Jaundice, Nausea and vomiting, Loss of appetite, Weight loss. Treatments: Surgery to remove the gallbladder, Chemotherapy, Radiation therapy."
Gastroesophageal reflux disease,"Gastroesophageal reflux disease (GERD) is a chronic condition in which acid reflux occurs more than twice a week, causing inflammation and irritation of the esophagus. Symptoms: Heartburn, Regurgitation, Difficulty swallowing, Chest pain. Treatments: Antacids, Proton pump inhibitors, H2 blockers, Lifestyle changes (e.g., weight loss, avoiding trigger foods)."
Glomerulonephritis,"Glomerulonephritis is a type of kidney disease in which the tiny filters in the kidneys become inflamed and damaged, leading to kidney failure. Symptoms: Blood in the urine, Foamy urine, Swelling in the face, hands, or feet, High blood pressure. Treatments: Medications to control blood pressure and reduce inflammation, Dialysis, Kidney transplant."
Heart failure,"Heart failure is a chronic condition in which the heart is unable to pump enough blood to meet the body's needs. Symptoms: Shortness of breath, Fatigue, Swelling in the legs, ankles, or feet, Coughing or wheezing, Rapid or irregular heartbeat. Treatments: Medications to improve heart function and control symptoms, Lifestyle changes (e.g., reducing salt intake, exercising regularly), Surgery (e.g., implanting a pacemaker, heart transplant)."
Hodgkin's Lymphoma,"Hodgkin's lymphoma is a cancer of the lymphatic system, which is part of the body's immune system. Symptoms: Enlarged lymph nodes, Fever, Night sweats, Unexplained weight loss. Treatments: Chemotherapy, Radiation therapy, Stem cell transplant."
Hyperthyroidism,"Hyperthyroidism is a condition in which the thyroid gland produces too much thyroid hormone. Symptoms: Weight loss, Increased appetite, Nervousness or anxiety, Tremors, Sweating, Heat sensitivity, Fatigue, Muscle weakness, Difficulty sleeping. Treatments: Antithyroid medication, Radioactive iodine therapy, Beta blockers."
